#	Reference	Run Label	Condition	Fraction	Replicate	Quantity Correction Factor	Label	Color	File Name
27	FALSE	B240924_THP1_Mz1_1000nM_1h_r3_wz40SPD_dia_1029.d	MZ1_1000nM_1h	NA	3	1	MZ1_1000nM_1h	#FF5722	B240924_THP1_Mz1_1000nM_1h_r3_wz40SPD_dia_1029
28	FALSE	B240924_THP1_Mz1_1000nM_1h_r4_wz40SPD_dia_1072.d	MZ1_1000nM_1h	NA	4	1	MZ1_1000nM_1h	#FF5722	B240924_THP1_Mz1_1000nM_1h_r4_wz40SPD_dia_1072
29	FALSE	B240924_THP1_Mz1_1000nM_24h_r1_wz40SPD_dia_997.d	MZ1_1000nM_24h	NA	1	1	MZ1_1000nM_24h	#FF8A65	B240924_THP1_Mz1_1000nM_24h_r1_wz40SPD_dia_997
30	FALSE	B240924_THP1_Mz1_1000nM_24h_r2_wz40SPD_dia_1021.d	MZ1_1000nM_24h	NA	2	1	MZ1_1000nM_24h	#FF8A65	B240924_THP1_Mz1_1000nM_24h_r2_wz40SPD_dia_1021
31	FALSE	B240924_THP1_Mz1_1000nM_24h_r3_wz40SPD_dia_1045.d	MZ1_1000nM_24h	NA	3	1	MZ1_1000nM_24h	#FF8A65	B240924_THP1_Mz1_1000nM_24h_r3_wz40SPD_dia_1045
32	FALSE	B240924_THP1_Mz1_1000nM_24h_r4_wz40SPD_dia_1090.d	MZ1_1000nM_24h	NA	4	1	MZ1_1000nM_24h	#FF8A65	B240924_THP1_Mz1_1000nM_24h_r4_wz40SPD_dia_1090
33	FALSE	B240924_THP1_Mz1_1000nM_2h_r1_wz40SPD_dia_985.d	MZ1_1000nM_2h	NA	1	1	MZ1_1000nM_2h	#E64A19	B240924_THP1_Mz1_1000nM_2h_r1_wz40SPD_dia_985
34	FALSE	B240924_THP1_Mz1_1000nM_2h_r2_wz40SPD_dia_1009.d	MZ1_1000nM_2h	NA	2	1	MZ1_1000nM_2h	#E64A19	B240924_THP1_Mz1_1000nM_2h_r2_wz40SPD_dia_1009
35	FALSE	B240924_THP1_Mz1_1000nM_2h_r3_wz40SPD_dia_1033.d	MZ1_1000nM_2h	NA	3	1	MZ1_1000nM_2h	#E64A19	B240924_THP1_Mz1_1000nM_2h_r3_wz40SPD_dia_1033
36	FALSE	B240924_THP1_Mz1_1000nM_2h_r4_wz40SPD_dia_1076.d	MZ1_1000nM_2h	NA	4	1	MZ1_1000nM_2h	#E64A19	B240924_THP1_Mz1_1000nM_2h_r4_wz40SPD_dia_1076
37	FALSE	B240924_THP1_Mz1_1000nM_30min_r1_wz40SPD_dia_977.d	MZ1_1000nM_30min	NA	1	1	MZ1_1000nM_30min	#FF7043	B240924_THP1_Mz1_1000nM_30min_r1_wz40SPD_dia_977
38	FALSE	B240924_THP1_Mz1_1000nM_30min_r2_wz40SPD_dia_1001.d	MZ1_1000nM_30min	NA	2	1	MZ1_1000nM_30min	#FF7043	B240924_THP1_Mz1_1000nM_30min_r2_wz40SPD_dia_1001
39	FALSE	B240924_THP1_Mz1_1000nM_30min_r3_wz40SPD_dia_1025.d	MZ1_1000nM_30min	NA	3	1	MZ1_1000nM_30min	#FF7043	B240924_THP1_Mz1_1000nM_30min_r3_wz40SPD_dia_1025
